Package Name,Dependencies,Optional Dependencies,Needed By,Config File Path
a52dec,glibc,None,gst-plugins-ugly,/etc/a52dec.conf
aalib,glibc  gpm  libx11  ncurses  slang,xorg-fonts-misc,gst-plugins-good,/etc/aalib.conf
abseil-cpp,gcc-libs,None,re2,/etc/abseil-cpp.conf
acl,None,None,coreutils  gettext  libarchive  libisofs  sed  shadow  spice-gtk  systemd  tar  udisks2  vim,/etc/acl.conf
adobe-source-code-pro-fonts,None,None,gsettings-desktop-schemas,/etc/adobe-source-code-pro-fonts.conf
adwaita-cursors,None,None,adwaita-icon-theme,/etc/adwaita-cursors.conf
adwaita-icon-theme,hicolor-icon-theme  gtk-update-icon-cache  librsvg  adwaita-cursors,None,gtk3,/etc/adwaita-icon-theme.conf
alacritty,freetype2  fontconfig  libxi  libxcursor  libxkbcommon  libxrandr,ncurses,None,/etc/alacritty.conf
alsa-lib,alsa-topology-conf  alsa-ucm-conf  glibc,None,chromium  ffmpeg  gst-plugins-base  jack2  libcanberra  mpg123  onlyoffice-bin  portaudio  pulseaudio  visual-studio-code-bin,/etc/alsa-lib.conf
alsa-topology-conf,None,None,alsa-lib,/etc/alsa-topology-conf.conf
alsa-ucm-conf,None,None,alsa-lib,/etc/alsa-ucm-conf.conf
amd-ucode,None,None,None,/etc/amd-ucode.conf
aom,gcc-libs,None,electron22  ffmpeg  libavif  libheif,/etc/aom.conf
arandr,gtk3  python-cairo  python-gobject  xorg-xrandr,None,None,/etc/arandr.conf
archlinux-keyring,pacman,None,base  base-devel  chaotic-keyring,/etc/archlinux-keyring.conf
archlinux-login-backgrounds-git,None,None,None,/etc/archlinux-login-backgrounds-git.conf
archlinux-tweak-tool-git,python-gobject  polkit-gnome  python-distro  python-numpy  python-psutil  xerolinux-mirrorlist  arcolinux-mirrorlist-git  arcolinux-keyring  chaotic-mirrorlist  chaotic-keyring  endeavouros-keyring  endeavouros-mirrorlist  rebornos-keyring  rebornos-mirrorlist,alacritty [installed],None,/etc/archlinux-tweak-tool-git.conf
archlinux-wallpaper,None,wallutils,None,/etc/archlinux-wallpaper.conf
arcolinux-keyring,None,None,archlinux-tweak-tool-git,/etc/arcolinux-keyring.conf
arcolinux-meta-sddm-themes,arcolinux-sddm-futuristic-git  arcolinux-sddm-materia-git  arcolinux-sddm-simplicity-git  arcolinux-sddm-slice-git  arcolinux-sddm-sugar-candy-git  arcolinux-sddm-urbanlifestyle-git,None,None,/etc/arcolinux-meta-sddm-themes.conf
arcolinux-mirrorlist-git,None,None,archlinux-tweak-tool-git,/etc/arcolinux-mirrorlist-git.conf
